Ticker;BID;ASK;SOURCE;TIME
VHOZ2 Index;-19;-16;Makor;29.07.2022 09:00
VHOZ3 Index;14;15,5;Makor;29.07.2022 09:00
VHOZ4 Index;27;28,5;Makor;29.07.2022 09:00
VHOZ5 Index;38;39,5;Makor;29.07.2022 09:00
VHOZ6 Index;47;49,5;Makor;29.07.2022 09:00
VHOZ7 Index;57;59;Makor;29.07.2022 09:00
VHOZ8 Index;67;69;Makor;29.07.2022 09:00
VHOZ9 Index;76;79;Makor;29.07.2022 09:00
VHOZ30 Index;85;88;Makor;29.07.2022 09:00
VGU2 Index;-4,875;-4,375;Makor;29.07.2022 09:00
IUEZ2 Index;21;27;Makor;29.07.2022 09:00
IUEZ3 Index;29;32;Makor;29.07.2022 09:00
IUEZ4 Index;34;37;Makor;29.07.2022 09:00
IUEZ5 Index;43;45,5;Makor;29.07.2022 09:00
IUEZ6 Index;50;53;Makor;29.07.2022 09:00
IUEZ7 Index;59;62,5;Makor;29.07.2022 09:00
IUAU2 Index;-50,25;-50,75;Makor;29.07.2022 09:00
IUBZ2 Index;269;273;Makor;29.07.2022 09:00
IUBZ3 Index;253;259;Makor;29.07.2022 09:00
IUBZ4 Index;243;249;Makor;29.07.2022 09:00
IUBZ5 Index;233;239;Makor;29.07.2022 09:00
IUBZ6 Index;227;233;Makor;29.07.2022 09:00
VHOZ2 Index;-20;-16,5;Makor;29.07.2022 17:00
VHOZ3 Index;14;15,5;Makor;29.07.2022 17:00
VHOZ4 Index;27;28,5;Makor;29.07.2022 17:00
VHOZ5 Index;37;38,5;Makor;29.07.2022 17:00
VHOZ6 Index;47;48,5;Makor;29.07.2022 17:00
VHOZ7 Index;57;58;Makor;29.07.2022 17:00
VHOZ8 Index;66;68;Makor;29.07.2022 17:00
VHOZ9 Index;75;78;Makor;29.07.2022 17:00
VHOZ30 Index;84;88;Makor;29.07.2022 17:00
VGU2 Index;-4,875;-4,375;Makor;29.07.2022 17:00
VHOZ2 Index;-19;-17;Makor;01.08.2022 09:00
VHOZ3 Index;14;15,5;Makor;01.08.2022 09:00
VHOZ4 Index;27;28,5;Makor;01.08.2022 09:00
VHOZ5 Index;37;39;Makor;01.08.2022 09:00
VHOZ6 Index;47;49;Makor;01.08.2022 09:00
VHOZ7 Index;56;58,5;Makor;01.08.2022 09:00
VHOZ8 Index;65,5;68,5;Makor;01.08.2022 09:00
VHOZ9 Index;75;78;Makor;01.08.2022 09:00
VHOZ30 Index;84;87;Makor;01.08.2022 09:00
VGU2 Index;-4,875;-4,375;Makor;01.08.2022 09:00
IUEZ2 Index;22;27;Makor;01.08.2022 09:00
IUEZ3 Index;28,5;31,5;Makor;01.08.2022 09:00
IUEZ4 Index;34;37;Makor;01.08.2022 09:00
IUEZ5 Index;42;45,5;Makor;01.08.2022 09:00
IUEZ6 Index;51;54,5;Makor;01.08.2022 09:00
IUEZ7 Index;58;62;Makor;01.08.2022 09:00
IUAU2 Index;-51,5;-51;Makor;01.08.2022 09:00
VHOZ2 Index;-18;-15;Makor;01.08.2022 17:00
VHOZ3 Index;13,5;14,5;Makor;01.08.2022 17:00
VHOZ4 Index;26,5;28;Makor;01.08.2022 17:00
VHOZ5 Index;37;39;Makor;01.08.2022 17:00
VHOZ6 Index;47;49;Makor;01.08.2022 17:00
VHOZ7 Index;56;59;Makor;01.08.2022 17:00
VHOZ8 Index;65;69;Makor;01.08.2022 17:00
VHOZ9 Index;74;78;Makor;01.08.2022 17:00
VHOZ30 Index;83;87;Makor;01.08.2022 17:00
VGU2 Index;-4,875;-4,375;Makor;01.08.2022 17:00
