Ticker;Price;Qty;SOURCE;TIME
VHOZ0 Index;-2,5;1000;;14.09.2020 14:46
VHOZ0 Index;-3;1000;;16.09.2020 12:04
VHOZ0 Index;-3;10000;;16.09.2020 13:42
VHOZ0 Index;-3;6000;;16.09.2020 17:29
VHOZ0 Index;-3;7000;;16.09.2020 17:41
VHOZ0 Index;-17;5000;;22.09.2020 13:08
VHOZ0 Index;-19;2000;;24.09.2020 15:56
VHOZ0 Index;-17;1000;;25.09.2020 16:14
VHOZ0 Index;-17;2600;;25.09.2020 16:32
VHOZ0 Index;-17;3000;;29.09.2020 17:21
VHOZ0 Index;-19;2500;;02.10.2020 11:50
VHOZ0 Index;-16;5000;;02.10.2020 12:14
VHOZ0 Index;-16;2000;;02.10.2020 12:57
VHOZ0 Index;-19;1500;;02.10.2020 15:26
VHOZ0 Index;-17;2000;;02.10.2020 17:06
VHOZ0 Index;-17;2000;;02.10.2020 17:25
VHOZ0 Index;-16;5000;;05.10.2020 17:09
VHOZ0 Index;-17;2000;;06.10.2020 09:43
VHOZ0 Index;-16;3000;;06.10.2020 16:18
VHOZ0 Index;-16;3000;;06.10.2020 16:26
VHOZ0 Index;-16;4000;;07.10.2020 12:38
VHOZ0 Index;-15;2000;;09.10.2020 15:54
VHOZ0 Index;-15;2000;;09.10.2020 16:44
VHOZ0 Index;-12;2000;;12.10.2020 13:15
VHOZ0 Index;-15;5000;;13.10.2020 12:36
VHOZ0 Index;-15;1000;;13.10.2020 14:27
VHOZ0 Index;-15;2000;;14.10.2020 10:26
VHOZ0 Index;-14;1000;;16.10.2020 11:05
VHOZ0 Index;-20;1000;;16.10.2020 16:20
VHOZ0 Index;-17;5000;;20.10.2020 16:29
VHOZ0 Index;-15;2000;;27.10.2020 10:25
VHOZ0 Index;-15;2000;;27.10.2020 11:51
VHOZ0 Index;-35;5000;;28.10.2020 16:41
VHOZ0 Index;-35;5000;;29.10.2020 11:43
VHOZ0 Index;-35;5000;;29.10.2020 15:42
VHOZ0 Index;-33;5000;;30.10.2020 12:36
VHOZ0 Index;-33;11000;;30.10.2020 14:02
VHOZ0 Index;-33;2000;;30.10.2020 14:33
VHOZ0 Index;-30;600;;30.10.2020 15:52
VHOZ0 Index;-29;2000;;02.11.2020 10:33
VHOZ0 Index;-30;5000;;02.11.2020 14:16
VHOZ0 Index;-30;5000;;02.11.2020 14:54
VHOZ0 Index;-20;300;;03.11.2020 15:42
VHOZ1 Index;42;4120;;03.12.2019 09:44
VHOZ1 Index;42;5000;;04.12.2019 09:52
VHOZ1 Index;42;12000;;04.12.2019 11:07
VHOZ1 Index;42;2000;;04.12.2019 11:11
VHOZ1 Index;41,5;2500;;04.12.2019 14:51
VHOZ1 Index;42;2500;;04.12.2019 14:52
